City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Plettenberg Bay,ZA,63.07,light rain,-34.0527,23.3716,Thanda Vista B&B
7,Bredasdorp,ZA,59.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
11,Castro,BR,64.17,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
18,Salalah,OM,69.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
19,Coahuayana,MX,67.19,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
21,Simao,CN,68.27,clear sky,22.7886,100.9748,Changyu Hotel
23,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
27,Praia Da Vitoria,PT,57.45,few clouds,38.7333,-27.0667,Hotel Branco I
31,Cape Town,ZA,61.88,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
33,East London,ZA,67.14,few clouds,-33.0153,27.9116,Tu Casa
39,Hermanus,ZA,60.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
55,Mossendjo,CG,68.36,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
61,Dergaon,IN,64.58,broken clouds,26.7,93.9667,Villa Shivalay (Assam)
66,Corbelia,BR,68.25,light rain,-24.7989,-53.3067,Hotel Peroza
69,Tura,IN,57.22,light rain,25.5198,90.2201,Hotel RIKMAN Continental
70,Ancud,CL,58.53,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
73,Villa Guerrero,MX,65.26,clear sky,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
75,Lagoa,PT,57.67,overcast clouds,39.05,-27.9833,Casa Das Faias
80,Port Alfred,ZA,69.84,overcast clouds,-33.5906,26.891,The Halyards Hotel
93,Kruisfontein,ZA,63.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
103,Lisala,CD,64.35,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
105,Ribeira Grande,PT,58.44,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
109,Mar Del Plata,AR,69.1,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
115,Lamas,PE,67.51,moderate rain,-6.4167,-76.5333,Peru Selva Tarapoto Lamas Linda
116,Port Elizabeth,ZA,66.49,overcast clouds,-33.918,25.5701,39 On Nile Guest House
117,Cabo San Lucas,MX,67.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Haimen,CN,57.09,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
141,Victoria,HK,61.18,broken clouds,22.2855,114.1577,Mini Hotel Central
159,Hoshangabad,IN,65.03,clear sky,22.75,77.7167,NAMAN NARMADA
161,Virginia Beach,US,63.05,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
202,Zhangzhou,CN,57.13,overcast clouds,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
205,Camacha,PT,63.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
208,Ruwi,OM,62.29,clear sky,23.5996,58.5507,Al Falaj Hotel
216,Vryburg,ZA,62.65,overcast clouds,-26.9566,24.7284,The Times Premier Lodge
238,Coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Hostel Del Puerto
239,Kalabo,ZM,65.88,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
241,Guerrero Negro,MX,58.03,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
253,Forestville,US,60.22,overcast clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
256,Macenta,GN,61.43,clear sky,8.5435,-9.471,Hôtel Yansané
264,Lebu,CL,59.38,few clouds,-37.6167,-73.65,Hostal Las Lilas
265,San Quintin,MX,56.08,clear sky,30.4833,-115.95,Don Eddie's Landing
285,Kibala,TD,66.15,clear sky,9.1104,18.3463,hotel safari
292,Mangrol,IN,67.32,clear sky,21.1167,70.1167,Hotel The Royal Honours
295,Ekpoma,NG,68.99,clear sky,6.7421,6.139,Alice Hotels
297,Necochea,AR,64.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
308,Talcahuano,CL,60.48,clear sky,-36.7167,-73.1167,departamento comodo
309,Ponta Do Sol,PT,67.01,few clouds,32.6667,-17.1,Hotel do Campo
314,Nishihara,JP,63.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
321,Takaka,NZ,69.98,light rain,-40.85,172.8,Golden Bay Motels
328,San Vicente,AR,68.4,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
330,Mbanza-Ngungu,CD,65.46,light rain,-5.25,14.8667,Hotel Full Business
340,Kabwe,ZM,63.37,overcast clouds,-14.4469,28.4464,Tuskers
357,Molepolole,BW,68.14,broken clouds,-24.4066,25.4951,Butterfly Tree Guesthouse
