City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Plettenberg Bay,-34.0527,23.3716,63.07,82,100,4.72,ZA,light rain
1,Hithadhoo,-0.6,73.0833,81.73,74,100,10.11,MV,overcast clouds
2,Punta Arenas,-53.15,-70.9167,42.91,61,75,6.91,CL,broken clouds
3,Vaini,-21.2,-175.2,84.36,84,75,13.8,TO,broken clouds
4,Raga,8.4596,25.678,70.81,22,100,4.45,SS,overcast clouds
5,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,40,8.05,CA,scattered clouds
6,Fort Nelson,58.8053,-122.7002,-11.61,77,100,4.61,CA,light snow
7,Bredasdorp,-34.5322,20.0403,59.29,77,100,4.61,ZA,overcast clouds
8,Te Anau,-45.4167,167.7167,48.38,97,100,3.69,NZ,moderate rain
9,New Norfolk,-42.7826,147.0587,73.65,34,3,3.0,AU,clear sky
10,San Patricio,28.017,-97.5169,35.58,75,74,16.15,US,broken clouds
11,Castro,-24.7911,-50.0119,64.17,98,100,4.05,BR,overcast clouds
12,Rikitea,-23.1203,-134.9692,78.22,74,100,17.02,PF,light rain
13,Kasongo-Lunda,-6.4667,16.8167,68.94,98,100,1.83,CD,overcast clouds
14,Kapaa,22.0752,-159.319,75.18,69,0,5.75,US,clear sky
15,Launceston,-41.45,147.1667,77.61,21,2,4.0,AU,clear sky
16,Avarua,-21.2078,-159.775,82.45,78,97,17.27,CK,overcast clouds
17,Baykit,61.67,96.37,14.43,94,100,4.21,RU,overcast clouds
18,Salalah,17.0151,54.0924,69.89,78,0,2.3,OM,clear sky
19,Coahuayana,18.7333,-103.6833,67.19,78,26,4.05,MX,scattered clouds
20,Albany,42.6001,-73.9662,38.14,91,100,1.01,US,snow
21,Simao,22.7886,100.9748,68.27,31,0,3.22,CN,clear sky
22,Mataura,-46.1927,168.8643,52.48,99,100,2.26,NZ,moderate rain
23,Pisco,-13.7,-76.2167,69.85,73,0,6.91,PE,clear sky
24,Zanjan,36.6736,48.4787,33.49,75,40,6.91,IR,scattered clouds
25,Amahai,-3.3333,128.9167,88.3,56,97,3.94,ID,overcast clouds
26,Saint George,37.1041,-113.5841,40.24,32,0,3.0,US,clear sky
27,Praia Da Vitoria,38.7333,-27.0667,57.45,82,20,12.12,PT,few clouds
28,Gazanjyk,39.2446,55.5154,46.87,40,43,1.23,TM,scattered clouds
29,Atuona,-9.8,-139.0333,78.96,71,3,17.87,PF,clear sky
30,Esperance,-33.8667,121.9,79.9,47,4,11.77,AU,clear sky
31,Cape Town,-33.9258,18.4232,61.88,71,20,4.0,ZA,few clouds
32,Saskylakh,71.9167,114.0833,-14.08,98,100,2.1,RU,overcast clouds
33,East London,-33.0153,27.9116,67.14,82,20,6.91,ZA,few clouds
34,Nanortalik,60.1432,-45.2371,26.35,94,100,15.73,GL,snow
35,Bluff,-46.6,168.3333,52.81,84,100,5.46,NZ,light rain
36,Mungwi,-10.1732,31.3694,62.2,97,100,4.25,ZM,light rain
37,Kommunisticheskiy,61.6789,64.4819,14.59,98,99,3.38,RU,overcast clouds
38,Kavieng,-2.5744,150.7967,83.73,71,64,6.93,PG,broken clouds
39,Hermanus,-34.4187,19.2345,60.91,72,93,9.89,ZA,overcast clouds
40,Yellowknife,62.456,-114.3525,-28.44,68,0,5.75,CA,clear sky
41,Jamestown,42.097,-79.2353,22.08,69,100,8.01,US,snow
42,Mildura,-34.2,142.15,81.07,22,0,10.36,AU,clear sky
43,Northam,51.0333,-4.2167,51.03,95,100,24.45,GB,overcast clouds
44,Karratha,-20.7377,116.8463,93.97,41,61,11.41,AU,broken clouds
45,Maragogi,-9.0122,-35.2225,78.12,75,99,7.85,BR,overcast clouds
46,Qasigiannguit,68.8193,-51.1922,19.65,95,100,1.59,GL,light snow
47,Baykalsk,51.5058,104.1469,15.94,75,100,1.05,RU,overcast clouds
48,Ushuaia,-54.8,-68.3,40.66,75,20,13.8,AR,few clouds
49,Mahebourg,-20.4081,57.7,81.25,94,75,23.02,MU,broken clouds
50,Quatre Cocos,-20.2078,57.7625,81.09,87,99,19.66,MU,light rain
51,Bondo,3.8146,23.6866,71.94,45,95,2.39,CD,overcast clouds
52,Chuy,-33.6971,-53.4616,70.92,95,100,6.29,UY,light rain
53,Geraldton,-28.7667,114.6,108.01,9,0,11.5,AU,clear sky
54,Thompson,55.7435,-97.8558,-20.04,76,0,8.05,CA,clear sky
55,Mossendjo,-2.9506,12.7261,68.36,97,100,1.81,CG,overcast clouds
56,Kahului,20.8947,-156.47,76.26,69,0,12.66,US,clear sky
57,Hilo,19.7297,-155.09,73.13,84,100,5.75,US,overcast clouds
58,Nome,64.5011,-165.4064,8.67,53,0,25.32,US,clear sky
59,Lorengau,-2.0226,147.2712,84.43,62,100,9.15,PG,overcast clouds
60,Rawah,34.4816,41.9093,49.17,60,79,6.82,IQ,broken clouds
61,Dergaon,26.7,93.9667,64.58,54,81,11.45,IN,broken clouds
62,Hobart,-42.8794,147.3294,74.01,47,20,1.01,AU,few clouds
63,Kapoeta,4.7717,33.5903,80.26,42,100,4.05,SS,overcast clouds
64,Narsaq,60.9167,-46.05,25.02,96,100,9.31,GL,snow
65,Tianpeng,30.9866,103.9393,45.07,63,89,3.27,CN,overcast clouds
66,Corbelia,-24.7989,-53.3067,68.25,98,100,4.47,BR,light rain
67,Severo-Kurilsk,50.6789,156.125,30.94,88,100,10.27,RU,light snow
68,Duku,11.2361,4.9073,69.04,13,0,10.92,NG,clear sky
69,Tura,25.5198,90.2201,57.22,89,100,1.1,IN,light rain
70,Ancud,-41.8697,-73.8203,58.53,96,32,3.83,CL,scattered clouds
71,Norman Wells,65.282,-126.8329,-45.36,66,20,0.0,CA,few clouds
72,Hollola,61.05,25.4333,4.71,100,100,4.16,FI,overcast clouds
73,Villa Guerrero,18.8667,-99.65,65.26,55,0,5.3,MX,clear sky
74,Longyearbyen,78.2186,15.6401,12.0,91,90,6.04,SJ,overcast clouds
75,Lagoa,39.05,-27.9833,57.67,76,100,11.3,PT,overcast clouds
76,Shimoda,34.6667,138.95,46.76,62,100,2.77,JP,overcast clouds
77,Zaraza,9.3503,-65.3245,76.91,78,89,9.91,VE,overcast clouds
78,Nizhniy Kuranakh,58.8353,125.4869,-5.64,91,100,5.84,RU,overcast clouds
79,Ust-Ordynskiy,52.805,104.7508,-4.16,91,100,3.56,RU,overcast clouds
80,Port Alfred,-33.5906,26.891,69.84,75,98,15.48,ZA,overcast clouds
81,Samarai,-10.6167,150.6667,83.32,73,91,5.93,PG,overcast clouds
82,Port Macquarie,-31.4333,152.9167,72.91,60,55,18.61,AU,broken clouds
83,Pevek,69.7008,170.3133,-20.11,100,26,2.93,RU,scattered clouds
84,Dikson,73.5069,80.5464,-8.03,95,100,4.81,RU,overcast clouds
85,Aklavik,68.2191,-135.0107,-21.17,98,17,7.34,CA,few clouds
86,Qitaihe,45.8,130.85,6.55,77,83,14.12,CN,broken clouds
87,Keti Bandar,24.1447,67.4497,71.58,46,0,5.97,PK,clear sky
88,Souillac,-20.5167,57.5167,81.36,94,75,23.02,MU,light rain
89,Tiksi,71.6872,128.8694,-11.81,100,100,6.02,RU,overcast clouds
90,Rio Gallegos,-51.6226,-69.2181,46.45,57,75,13.8,AR,broken clouds
91,Beringovskiy,63.05,179.3167,-0.42,79,100,18.1,RU,overcast clouds
92,Yumen,40.2833,97.2,19.2,28,89,13.89,CN,overcast clouds
93,Kruisfontein,-34.0033,24.7314,63.88,75,79,9.17,ZA,broken clouds
94,Hasaki,35.7333,140.8333,48.29,58,100,6.87,JP,overcast clouds
95,Busselton,-33.65,115.3333,101.05,33,49,14.79,AU,scattered clouds
96,Srednekolymsk,67.45,153.6833,-30.14,100,37,1.86,RU,scattered clouds
97,Finschhafen,-6.6024,147.8681,86.61,68,98,6.8,PG,overcast clouds
